项目章程,编制范围管理计划,输入
项目范围说明书（初步）,编制范围管理计划,输入
组织过程资产,编制范围管理计划,输入
环境因素和组织因素,编制范围管理计划,输入
项目管理计划,编制范围管理计划,输入
编制范围管理计划,专家判断,内容
编制范围管理计划,模版、表格和标准,内容
编制范围管理计划,项目范围管理计划,输出
项目章程,范围定义,输入
项目范围说明书（初步）,范围定义,输入
项目范围管理计划,范围定义,输入
组织过程资产,范围定义,输入
已批准的变更申请,范围定义,输入
范围定义,产品分析,内容
范围定义,识别出多个可选的方案,内容
范围定义,专家判断,内容
范围定义,项目范围说明书（详细）,输出
范围定义,项目干系人需求文档,输出
项目范围说明书（详细）,创建工作分解结构,输入
项目管理计划,创建工作分解结构,输入
组织过程资产,创建工作分解结构,输入
创建工作分解结构,分解,内容
创建工作分解结构,工作分解结构模版,内容
创建工作分解结构,WBS中工作包的格式,内容
创建工作分解结构,滚动波式计划,内容
创建工作分解结构,WBS和WBS字典,输出
创建工作分解结构,范围基准,输出
创建工作分解结构,项目范围管理计划,输出
创建工作分解结构,项目干系人需求文档,输出
项目范围说明书（详细）,范围确认,输入
WBS和WBS字典,范围确认,输入
可交付物,范围确认,输入
范围确认,检查,内容
范围确认,可接受的项目可交付物和工作,输出
范围确认,变更申请,输出
范围确认,WBS和WBS字典,输出
范围基准,范围控制,输入
变更管理计划,范围控制,输入
配置管理计划,范围控制,输入
工作绩效信息,范围控制,输入
绩效报告,范围控制,输入
已批准的变更申请,范围控制,输入
范围控制,偏差分析,内容
范围控制,重新制定计划,内容
范围控制,变更控制系统和变更控制委员会,内容
范围控制,配置管理系统,内容
范围控制,变更申请,输出
范围控制,工作绩效信息,输出
范围控制,组织过程资产,输出
范围控制,范围基准,输出
范围控制,其它基准,输出
