制定成本管理计划,成本管理计划0,输出
事业环境因素,项目成本估算,输入
组织过程资产,项目成本估算,输入
项目范围说明书,项目成本估算,输入
WBS和WBS字典,项目成本估算,输入
成本管理计划0,项目成本估算,输入
进度管理计划,项目成本估算,输入
人员配备管理计划,项目成本估算,输入
风险登记册,项目成本估算,输入
项目成本估算,类比估算,内容
项目成本估算,确定资源费率,内容
项目成本估算,自下而上估算,内容
项目成本估算,参数估算,内容
项目成本估算,项目管理软件,内容
项目成本估算,供应商投标分析,内容
项目成本估算,准备金分析,内容
项目成本估算,质量成本,内容
项目成本估算,活动成本估算,输出
项目成本估算,活动成本估算的支持性细节,输出
项目成本估算,请求的变更,输出
项目成本估算,成本管理计划1,输出
项目范围说明书,项目成本预算,输入
WBS和WBS字典,项目成本预算,输入
活动成本估算,项目成本预算,输入
活动成本估算的支持性细节,项目成本预算,输入
项目进度计划,项目成本预算,输入
资源日历,项目成本预算,输入
合同,项目成本预算,输入
成本管理计划1,项目成本预算,输入
项目成本预算,成本汇总,内容
项目成本预算,准备金分析,内容
项目成本预算,参数估算,内容
项目成本预算,资金限制平衡,内容
项目成本预算,成本基准,输出
项目成本预算,项目资金需求,输出
项目成本预算,成本管理计划2,输出
项目成本预算,请求的变更,输出
成本基准,项目成本控制,输入
项目资金需求,项目成本控制,输入
绩效报告,项目成本控制,输入
工作绩效信息,项目成本控制,输入
批准的变更请求,项目成本控制,输入
项目管理计划,项目成本控制,输入
成本管理计划2,项目成本控制,输入
项目成本控制,成本变更控制系统,内容
项目成本控制,绩效衡量分析,内容
项目成本控制,预测技术,内容
项目成本控制,项目绩效审核,内容
项目成本控制,项目管理软件,内容
项目成本控制,偏差管理,内容
项目成本控制,活动成本估算,输出
项目成本控制,成本基准,输出
项目成本控制,绩效衡量,输出
项目成本控制,完工预测,输出
项目成本控制,请求的变更,输出
项目成本控制,推荐的纠正措施,输出
项目成本控制,组织过程资产,输出
项目成本控制,项目管理计划,输出
项目成本控制,成本管理计划2,输出
